[2025-05-27 14:46:41,128 ] 19 root -INFO -Initiate the data ingestion
[2025-05-27 14:46:55,018 ] 72 root -INFO -Performed Train test split
[2025-05-27 14:46:55,019 ] 78 root -INFO -Exporting train and test filepath
[2025-05-27 14:46:55,201 ] 88 root -INFO -Exported Train and test file path
[2025-05-27 14:46:55,202 ] 21 root -INFO -Data initiation Completed
[2025-05-27 14:46:55,208 ] 28 root -INFO -initiate the data validation config
[2025-05-27 14:46:55,288 ] 103 root -INFO -Read train and test data successfully
[2025-05-27 14:46:55,288 ] 43 root -INFO -Required no of columns:2
[2025-05-27 14:46:55,288 ] 44 root -INFO -Datafram has:31
[2025-05-27 14:46:55,288 ] 43 root -INFO -Required no of columns:2
[2025-05-27 14:46:55,289 ] 44 root -INFO -Datafram has:31
[2025-05-27 14:46:55,536 ] 32 root -INFO -Data validation completed
[2025-05-27 14:46:55,537 ] 53 root -INFO -Entering into datatransformation of class of DataTransformation
[2025-05-27 14:46:55,537 ] 55 root -INFO -starting data transformation
[2025-05-27 14:46:55,597 ] 38 root -INFO -Entered get_data_transformer_object method of Transformation class
[2025-05-27 14:46:55,598 ] 43 root -INFO -Initialize knn imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} parameters
[2025-05-27 14:46:55,626 ] 42 root -INFO -Data Transformation is completed
