[2025-06-01 00:35:50,636 ] 20 root -INFO -Initiate the data ingestion
[2025-06-01 00:36:03,746 ] 72 root -INFO -Performed Train test split
[2025-06-01 00:36:03,746 ] 78 root -INFO -Exporting train and test filepath
[2025-06-01 00:36:03,918 ] 88 root -INFO -Exported Train and test file path
[2025-06-01 00:36:03,919 ] 22 root -INFO -Data initiation Completed
[2025-06-01 00:36:03,926 ] 29 root -INFO -initiate the data validation config
[2025-06-01 00:36:04,001 ] 103 root -INFO -Read train and test data successfully
[2025-06-01 00:36:04,001 ] 43 root -INFO -Required no of columns:2
[2025-06-01 00:36:04,001 ] 44 root -INFO -Datafram has:31
[2025-06-01 00:36:04,001 ] 43 root -INFO -Required no of columns:2
[2025-06-01 00:36:04,002 ] 44 root -INFO -Datafram has:31
[2025-06-01 00:36:04,329 ] 33 root -INFO -Data validation completed
[2025-06-01 00:36:04,330 ] 53 root -INFO -Entering into datatransformation of class of DataTransformation
[2025-06-01 00:36:04,330 ] 55 root -INFO -starting data transformation
[2025-06-01 00:36:04,390 ] 38 root -INFO -Entered get_data_transformer_object method of Transformation class
[2025-06-01 00:36:04,390 ] 43 root -INFO -Initialize knn imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} parameters
[2025-06-01 00:36:04,428 ] 43 root -INFO -Data Transformation is completed
[2025-06-01 00:36:04,429 ] 47 root -INFO -Model Trainer Starts
