[2025-06-01 00:59:15,424 ] 20 root -INFO -Initiate the data ingestion
[2025-06-01 00:59:30,681 ] 72 root -INFO -Performed Train test split
[2025-06-01 00:59:30,681 ] 78 root -INFO -Exporting train and test filepath
[2025-06-01 00:59:30,901 ] 88 root -INFO -Exported Train and test file path
[2025-06-01 00:59:30,903 ] 22 root -INFO -Data initiation Completed
[2025-06-01 00:59:30,910 ] 29 root -INFO -initiate the data validation config
[2025-06-01 00:59:31,045 ] 103 root -INFO -Read train and test data successfully
[2025-06-01 00:59:31,045 ] 43 root -INFO -Required no of columns:2
[2025-06-01 00:59:31,045 ] 44 root -INFO -Datafram has:31
[2025-06-01 00:59:31,045 ] 43 root -INFO -Required no of columns:2
[2025-06-01 00:59:31,046 ] 44 root -INFO -Datafram has:31
[2025-06-01 00:59:31,286 ] 33 root -INFO -Data validation completed
[2025-06-01 00:59:31,286 ] 53 root -INFO -Entering into datatransformation of class of DataTransformation
[2025-06-01 00:59:31,286 ] 55 root -INFO -starting data transformation
[2025-06-01 00:59:31,380 ] 38 root -INFO -Entered get_data_transformer_object method of Transformation class
[2025-06-01 00:59:31,380 ] 43 root -INFO -Initialize knn imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} parameters
[2025-06-01 00:59:31,426 ] 43 root -INFO -Data Transformation is completed
[2025-06-01 00:59:31,426 ] 47 root -INFO -Model Trainer Starts
[2025-06-01 01:09:35,042 ] 110 root -INFO -Model Trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_01_2025_00_59_13\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910278767659919, precission_score=0.9925580924416544, recall_score=0.9895023720601595), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9896611730985772, precission_score=0.9915897435897436, recall_score=0.9877400899060074))
[2025-06-01 01:09:35,044 ] 55 root -INFO -Model Trainer is completed
