[2025-06-01 00:28:23,338 ] 20 root -INFO -Initiate the data ingestion
[2025-06-01 00:28:37,441 ] 72 root -INFO -Performed Train test split
[2025-06-01 00:28:37,441 ] 78 root -INFO -Exporting train and test filepath
[2025-06-01 00:28:37,623 ] 88 root -INFO -Exported Train and test file path
[2025-06-01 00:28:37,624 ] 22 root -INFO -Data initiation Completed
[2025-06-01 00:28:37,631 ] 29 root -INFO -initiate the data validation config
[2025-06-01 00:28:37,711 ] 103 root -INFO -Read train and test data successfully
[2025-06-01 00:28:37,712 ] 43 root -INFO -Required no of columns:2
[2025-06-01 00:28:37,712 ] 44 root -INFO -Datafram has:31
[2025-06-01 00:28:37,712 ] 43 root -INFO -Required no of columns:2
[2025-06-01 00:28:37,712 ] 44 root -INFO -Datafram has:31
[2025-06-01 00:28:37,904 ] 33 root -INFO -Data validation completed
[2025-06-01 00:28:37,904 ] 53 root -INFO -Entering into datatransformation of class of DataTransformation
[2025-06-01 00:28:37,904 ] 55 root -INFO -starting data transformation
[2025-06-01 00:28:37,977 ] 38 root -INFO -Entered get_data_transformer_object method of Transformation class
[2025-06-01 00:28:37,978 ] 43 root -INFO -Initialize knn imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} parameters
[2025-06-01 00:28:38,005 ] 43 root -INFO -Data Transformation is completed
[2025-06-01 00:28:38,005 ] 47 root -INFO -Model Trainer Starts
