[2025-05-25 02:34:19,358 ] 18 root -INFO -Initiate the data ingestion
[2025-05-25 02:34:33,916 ] 72 root -INFO -Performed Train test split
[2025-05-25 02:34:33,917 ] 78 root -INFO -Exporting train and test filepath
[2025-05-25 02:34:34,088 ] 88 root -INFO -Exported Train and test file path
[2025-05-25 02:34:34,089 ] 20 root -INFO -Data initiation Completed
[2025-05-25 02:34:34,096 ] 25 root -INFO -initiate the data validation config
[2025-05-25 02:34:34,199 ] 103 root -INFO -Read train and test data successfully
[2025-05-25 02:34:34,199 ] 43 root -INFO -Required no of columns:2
[2025-05-25 02:34:34,199 ] 44 root -INFO -Datafram has:31
[2025-05-25 02:34:34,199 ] 43 root -INFO -Required no of columns:2
[2025-05-25 02:34:34,199 ] 44 root -INFO -Datafram has:31
[2025-05-25 02:34:34,434 ] 29 root -INFO -Data validation completed
