[2025-06-01 20:31:06,570 ] 20 root -INFO -Initiate the data ingestion
[2025-06-01 20:31:21,525 ] 72 root -INFO -Performed Train test split
[2025-06-01 20:31:21,526 ] 78 root -INFO -Exporting train and test filepath
[2025-06-01 20:31:21,715 ] 88 root -INFO -Exported Train and test file path
[2025-06-01 20:31:21,716 ] 22 root -INFO -Data initiation Completed
[2025-06-01 20:31:21,734 ] 29 root -INFO -initiate the data validation config
[2025-06-01 20:31:21,830 ] 103 root -INFO -Read train and test data successfully
[2025-06-01 20:31:21,830 ] 43 root -INFO -Required no of columns:2
[2025-06-01 20:31:21,830 ] 44 root -INFO -Datafram has:31
[2025-06-01 20:31:21,830 ] 43 root -INFO -Required no of columns:2
[2025-06-01 20:31:21,831 ] 44 root -INFO -Datafram has:31
[2025-06-01 20:31:22,036 ] 33 root -INFO -Data validation completed
[2025-06-01 20:31:22,037 ] 53 root -INFO -Entering into datatransformation of class of DataTransformation
[2025-06-01 20:31:22,037 ] 55 root -INFO -starting data transformation
[2025-06-01 20:31:22,107 ] 38 root -INFO -Entered get_data_transformer_object method of Transformation class
[2025-06-01 20:31:22,107 ] 43 root -INFO -Initialize knn imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} parameters
[2025-06-01 20:31:22,137 ] 43 root -INFO -Data Transformation is completed
[2025-06-01 20:31:22,137 ] 47 root -INFO -Model Trainer Starts
[2025-06-01 20:40:52,951 ] 130 root -INFO -Model Trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_01_2025_20_31_03\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913025838679412, precission_score=0.9923846271005737, recall_score=0.9902228976697062), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9885569620253165, precission_score=0.9898600689515311, recall_score=0.9872572815533981))
[2025-06-01 20:40:52,956 ] 55 root -INFO -Model Trainer is completed
