[2025-05-27 14:45:32,204 ] 19 root -INFO -Initiate the data ingestion
[2025-05-27 14:45:49,718 ] 72 root -INFO -Performed Train test split
[2025-05-27 14:45:49,718 ] 78 root -INFO -Exporting train and test filepath
[2025-05-27 14:45:49,896 ] 88 root -INFO -Exported Train and test file path
[2025-05-27 14:45:49,896 ] 21 root -INFO -Data initiation Completed
[2025-05-27 14:45:49,903 ] 28 root -INFO -initiate the data validation config
[2025-05-27 14:45:49,991 ] 103 root -INFO -Read train and test data successfully
[2025-05-27 14:45:49,992 ] 43 root -INFO -Required no of columns:2
[2025-05-27 14:45:49,992 ] 44 root -INFO -Datafram has:31
[2025-05-27 14:45:49,992 ] 43 root -INFO -Required no of columns:2
[2025-05-27 14:45:49,992 ] 44 root -INFO -Datafram has:31
[2025-05-27 14:45:50,196 ] 32 root -INFO -Data validation completed
[2025-05-27 14:45:50,198 ] 53 root -INFO -Entering into datatransformation of class of DataTransformation
[2025-05-27 14:45:50,198 ] 55 root -INFO -starting data transformation
[2025-05-27 14:45:50,265 ] 38 root -INFO -Entered get_data_transformer_object method of Transformation class
