[2025-05-27 14:49:18,945 ] 19 root -INFO -Initiate the data ingestion
[2025-05-27 14:49:38,113 ] 72 root -INFO -Performed Train test split
[2025-05-27 14:49:38,113 ] 78 root -INFO -Exporting train and test filepath
[2025-05-27 14:49:38,282 ] 88 root -INFO -Exported Train and test file path
[2025-05-27 14:49:38,283 ] 21 root -INFO -Data initiation Completed
[2025-05-27 14:49:38,289 ] 28 root -INFO -initiate the data validation config
[2025-05-27 14:49:38,367 ] 103 root -INFO -Read train and test data successfully
[2025-05-27 14:49:38,367 ] 43 root -INFO -Required no of columns:2
[2025-05-27 14:49:38,367 ] 44 root -INFO -Datafram has:31
[2025-05-27 14:49:38,367 ] 43 root -INFO -Required no of columns:2
[2025-05-27 14:49:38,375 ] 44 root -INFO -Datafram has:31
[2025-05-27 14:49:38,541 ] 32 root -INFO -Data validation completed
[2025-05-27 14:49:38,541 ] 53 root -INFO -Entering into datatransformation of class of DataTransformation
[2025-05-27 14:49:38,541 ] 55 root -INFO -starting data transformation
[2025-05-27 14:49:38,602 ] 38 root -INFO -Entered get_data_transformer_object method of Transformation class
[2025-05-27 14:49:38,602 ] 43 root -INFO -Initialize knn imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} parameters
[2025-05-27 14:49:38,629 ] 42 root -INFO -Data Transformation is completed
